crawl_date,city,forecast_time,hour_sort,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
2025-09-12,Delhi,05:30,5,29.86,31.83,29.24,29.86,1006,56,2.76,267,10,Clear,clear sky,0,0
2025-09-12,Delhi,08:30,8,29.95,31.13,29.84,29.95,1007,51,4.46,282,10,Clear,clear sky,0,0
2025-09-12,Delhi,11:30,11,33.17,34.51,33.17,33.17,1007,42,4.68,295,9,Clear,clear sky,0,0
2025-09-12,Delhi,17:30,17,34.02,35.99,34.02,34.02,1003,42,5.09,329,8,Clear,clear sky,0,0
2025-09-12,Delhi,02:30,2,30.17,32.56,30.17,30.17,1006,57,1.57,214,11,Clouds,few clouds,0,0
2025-09-12,Delhi,14:30,14,36.83,39.37,36.83,36.83,1004,36,5.01,305,12,Clouds,few clouds,0,0
2025-09-12,Delhi,20:30,20,32.53,36.77,32.53,32.53,1005,55,2.54,1,42,Clouds,scattered clouds,0,0
2025-09-12,Delhi,23:30,23,31.8,35.76,31.8,31.8,1006,57,1.01,13,65,Clouds,broken clouds,0,0
2025-09-12,Ludhiana,23:30,23,26.45,26.45,26.45,26.45,1006,82,1.51,96,3,Clear,clear sky,0,0
2025-09-12,Agra,23:30,23,30.07,32.77,30.07,30.07,1007,59,2.43,291,40,Clouds,scattered clouds,0,0
2025-09-12,Pune,23:30,23,22.51,23.11,22.51,22.51,1011,88,2.32,276,98,Clouds,overcast clouds,0,0
2025-09-12,Patna,23:30,23,31.23,35.87,31.23,31.23,1006,62,0.74,347,98,Clouds,overcast clouds,0,0
2025-09-12,Vadodara,23:30,23,26.8,28.6,26.8,26.8,1009,71,3.14,204,98,Clouds,overcast clouds,0,0
2025-09-12,Lucknow,23:30,23,29.64,32.92,29.64,29.64,1006,64,1.18,167,97,Clouds,overcast clouds,0,0
2025-09-12,Mumbai,23:30,23,27.4,30.42,27.4,27.4,1010,78,3,317,93,Clouds,overcast clouds,0,0
2025-09-12,Kanpur,23:30,23,29.66,32.57,29.66,29.66,1006,62,2.14,40,91,Clouds,overcast clouds,0,0
2025-09-12,Bhopal,23:30,23,24.57,25.28,24.57,24.57,1009,84,2.78,335,89,Clouds,overcast clouds,0,0
2025-09-12,Surat,23:30,23,26.21,26.21,26.21,26.21,1009,83,2.95,215,58,Clouds,broken clouds,0,0
2025-09-12,Indore,23:30,23,22.56,23.2,22.56,22.56,1010,89,2.77,331,65,Clouds,broken clouds,0,0
2025-09-12,Ludhiana,17:30,17,30.69,37.69,30.69,30.69,1004,76,2.19,283,0,Clear,clear sky,0,0
2025-09-12,Ludhiana,14:30,14,32.01,38.03,32.01,32.01,1005,63,4.24,293,1,Clear,clear sky,0,0
2025-09-12,Ludhiana,20:30,20,27.58,30.82,27.58,27.58,1005,78,0.71,334,1,Clear,clear sky,0,0
