source_file,folder_path,crawl_date,crawl_time,city,forecast_date,forecast_time,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Lucknow,2025-09-01,20:30:00,27.9,31.28,27.9,27.9,1001,76,1.45,294,100,Rain,light rain,0.3,0.15
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Kanpur,2025-09-01,14:30:00,28.86,31.57,28.74,28.86,1000,65,4.07,178,100,Rain,light rain,0.65,0.48
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Kanpur,2025-09-01,17:30:00,28.57,32.48,28.57,28.57,999,74,2.32,249,100,Rain,light rain,0.79,0.87
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Kanpur,2025-09-01,20:30:00,27.57,31.57,27.57,27.57,1001,84,2.29,302,100,Rain,light rain,0.47,0.39
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Nagpur,2025-09-01,11:30:00,26.45,26.45,26.45,28.12,1004,85,5.45,298,100,Rain,light rain,0.5,0.82
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Indore,2025-09-01,08:30:00,22.55,23.37,22.55,22.55,1006,96,4.47,257,100,Rain,light rain,0.5,0.28
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Indore,2025-09-01,11:30:00,22.74,23.58,22.74,23.12,1006,96,4.44,260,100,Rain,light rain,0.27,0.15
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Indore,2025-09-01,14:30:00,24.25,25.08,24.25,25.1,1003,90,4.52,272,100,Rain,light rain,0.55,0.27
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Indore,2025-09-01,20:30:00,23.13,24.01,23.13,23.13,1004,96,3.85,266,100,Rain,light rain,0.86,1.98
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Agra,2025-09-01,14:30:00,28.24,32.05,28.24,28.8,1000,76,2.86,203,100,Rain,light rain,0.36,0.3
